Neighbors,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
100,0.00,96.44214,4.91264,95.08736,80.15464,97.28362,2.58293,0.97493
200,0.00,97.84756,4.91264,95.08736,79.12371,98.81491,1.12687,1.02558
300,2.00,98.05014,4.91264,95.08736,77.31959,99.12117,0.83565,1.11421
400,17.00,97.97417,4.91264,95.08736,73.19588,99.25433,0.70904,1.31679
