Neighbors,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
69,575,50.29143%,53.44861%,46.55139%,52.50818%,47.74624%,24.32485%,25.38372%
70,594,50.26229%,53.44861%,46.55139%,52.01745%,48.24708%,24.09170%,25.64601%
71,618,50.33029%,53.44861%,46.55139%,52.49000%,47.85058%,24.27628%,25.39343%
72,646,50.39829%,53.44861%,46.55139%,52.10832%,48.43489%,24.00427%,25.59744%
73,673,50.29143%,53.44861%,46.55139%,52.38095%,47.89232%,24.25685%,25.45172%
74,693,50.29143%,53.44861%,46.55139%,51.92657%,48.41402%,24.01399%,25.69458%
75,717,50.25257%,53.44861%,46.55139%,52.18103%,48.03840%,24.18885%,25.55858%
76,740,50.38858%,53.44861%,46.55139%,51.79935%,48.76878%,23.84884%,25.76258%
77,773,50.38858%,53.44861%,46.55139%,52.30825%,48.18447%,24.12085%,25.49058%
78,807,50.35943%,53.44861%,46.55139%,51.94475%,48.53923%,23.95570%,25.68486%
79,854,50.53429%,53.44861%,46.55139%,52.56270%,48.20534%,24.11113%,25.35458%
80,873,50.59258%,53.44861%,46.55139%,52.34460%,48.58097%,23.93627%,25.47115%
81,918,50.75772%,53.44861%,46.55139%,52.98073%,48.20534%,24.11113%,25.13114%
82,946,50.75772%,53.44861%,46.55139%,52.54453%,48.70618%,23.87799%,25.36429%
83,992,50.83544%,53.44861%,46.55139%,53.01708%,48.33055%,24.05285%,25.11172%
84,1050,50.77715%,53.44861%,46.55139%,52.63541%,48.64357%,23.90713%,25.31572%
85,1101,50.82572%,53.44861%,46.55139%,52.98073%,48.35142%,24.04313%,25.13114%
86,1434,50.87430%,53.44861%,46.55139%,52.78081%,48.68531%,23.88770%,25.23800%
87,1191,50.78687%,53.44861%,46.55139%,53.03526%,48.20534%,24.11113%,25.10200%
88,1226,50.68001%,53.44861%,46.55139%,52.50818%,48.58097%,23.93627%,25.38372%
89,1272,50.68972%,53.44861%,46.55139%,52.83533%,48.22621%,24.10142%,25.20886%
90,1313,50.70915%,53.44861%,46.55139%,52.54453%,48.60184%,23.92656%,25.36429%
91,1352,50.67029%,53.44861%,46.55139%,52.81716%,48.20534%,24.11113%,25.21857%
92,1019,50.60229%,53.44861%,46.55139%,52.45365%,48.47663%,23.98485%,25.41286%
93,1044,50.64115%,53.44861%,46.55139%,52.85351%,48.10100%,24.15970%,25.19915%
94,1072,50.63144%,53.44861%,46.55139%,52.61723%,48.35142%,24.04313%,25.32543%
95,1104,50.61201%,53.44861%,46.55139%,52.87168%,48.01753%,24.19856%,25.18943%
96,1156,50.62172%,53.44861%,46.55139%,52.61723%,48.33055%,24.05285%,25.32543%
97,1196,50.67029%,53.44861%,46.55139%,52.96256%,48.03840%,24.18885%,25.14086%
98,1594,50.66058%,53.44861%,46.55139%,52.65358%,48.37229%,24.03342%,25.30600%
99,1913,50.60229%,53.44861%,46.55139%,52.83533%,48.03840%,24.18885%,25.20886%
100,1585,50.61201%,53.44861%,46.55139%,52.61723%,48.30968%,24.06256%,25.32543%
