Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
7800,490.00,97.20182,4.91264,95.08736,85.30928,97.81625,2.07648,0.72170
7900,493.00,97.20182,4.91264,95.08736,84.79381,97.84288,2.05115,0.74702
8000,569.00,97.20182,4.91264,95.08736,84.79381,97.84288,2.05115,0.74702
8100,541.00,97.18916,4.91264,95.08736,84.27835,97.85619,2.03849,0.77235
8200,559.00,97.21448,4.91264,95.08736,84.79381,97.85619,2.03849,0.74702
8300,578.00,97.25247,4.91264,95.08736,84.53608,97.90945,1.98785,0.75969
8400,574.00,97.36642,4.91264,95.08736,84.27835,98.04261,1.86123,0.77235
8500,592.00,97.27779,4.91264,95.08736,84.27835,97.94940,1.94986,0.77235
8600,609.00,97.29045,4.91264,95.08736,84.53608,97.94940,1.94986,0.75969
8700,612.00,97.34110,4.91264,95.08736,85.30928,97.96272,1.93720,0.72170
8800,669.00,97.37908,4.91264,95.08736,84.53608,98.04261,1.86123,0.75969
8900,728.00,97.36642,4.91264,95.08736,84.27835,98.04261,1.86123,0.77235
9000,712.00,97.42973,4.91264,95.08736,84.02062,98.12250,1.78526,0.78501
9100,727.00,97.48037,4.91264,95.08736,84.02062,98.17577,1.73462,0.78501
9200,772.00,97.48037,4.91264,95.08736,84.02062,98.17577,1.73462,0.78501
9300,799.00,97.44239,4.91264,95.08736,83.76289,98.14913,1.75994,0.79767
9400,975.00,97.48037,4.91264,95.08736,83.76289,98.18908,1.72195,0.79767
9500,896.00,97.50570,4.91264,95.08736,83.76289,98.21571,1.69663,0.79767
9600,919.00,97.35376,4.91264,95.08736,85.56701,97.96272,1.93720,0.70904
9700,873.00,97.32844,4.91264,95.08736,85.82474,97.92277,1.97518,0.69638
9800,919.00,97.30311,4.91264,95.08736,85.30928,97.92277,1.97518,0.72170
9900,1084.00,97.31578,4.91264,95.08736,84.79381,97.96272,1.93720,0.74702
10000,1042.00,97.36642,4.91264,95.08736,84.79381,98.01598,1.88655,0.74702
