leaf,split = 100,depth = 9
Min split,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
10,0.00,98.29071,4.91264,95.08736,86.85567,98.88149,1.06356,0.64573
100,0.00,98.21474,4.91264,95.08736,86.85567,98.80160,1.13953,0.64573
1000,0.00,98.35401,4.91264,95.08736,81.44330,99.22770,0.73436,0.91162
10000,0.00,98.36668,4.91264,95.08736,81.95876,99.21438,0.74702,0.88630
100000,0.00,95.08736,4.91264,95.08736,0.00000,100.00000,0.00000,4.91264
