depth,leaf = 1,split = 2,,,,,,
6,0,53.79833%,53.44861%,46.55139%,90.07634%,12.14524%,40.89761%,5.30406%
8,0,53.02118%,53.44861%,46.55139%,79.75282%,22.32888%,36.15698%,10.82184%
10,0,53.19604%,53.44861%,46.55139%,78.20792%,24.47830%,35.15640%,11.64756%
12,0,53.29318%,53.44861%,46.55139%,78.53508%,24.31135%,35.23412%,11.47270%
14,0,52.77832%,53.44861%,46.55139%,77.98982%,23.83139%,35.45755%,11.76413%
16,0,52.93375%,53.44861%,46.55139%,74.31843%,28.38063%,33.33981%,13.72644%
18,1,52.83660%,53.44861%,46.55139%,74.71828%,27.71285%,33.65067%,13.51273%
20,1,53.34175%,53.44861%,46.55139%,83.55144%,18.65609%,37.86672%,8.79153%
22,1,52.81718%,53.44861%,46.55139%,77.98982%,23.91486%,35.41869%,11.76413%
24,1,53.37090%,53.44861%,46.55139%,83.11523%,19.21953%,37.60443%,9.02467%
26,1,53.21547%,53.44861%,46.55139%,83.56961%,18.36394%,38.00272%,8.78181%
28,1,53.11832%,53.44861%,46.55139%,83.71501%,17.98831%,38.17758%,8.70410%
30,1,53.60404%,53.44861%,46.55139%,80.78880%,22.39149%,36.12784%,10.26812%
32,2,52.71032%,53.44861%,46.55139%,72.35551%,30.15442%,32.51409%,14.77560%
34,2,53.75947%,53.44861%,46.55139%,84.76917%,18.15526%,38.09986%,8.14066%
36,2,53.73033%,53.44861%,46.55139%,83.71501%,19.30301%,37.56557%,8.70410%
38,2,53.73033%,53.44861%,46.55139%,83.71501%,19.30301%,37.56557%,8.70410%
40,3,53.76919%,53.44861%,46.55139%,82.84260%,20.38815%,37.06042%,9.17039%
depth,leaf = 6,split = 32,,,,,,
depth,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
2,0,53.51661%,53.44861%,46.55139%,96.45583%,4.21536%,44.58908%,1.89431%
4,0,53.09889%,53.44861%,46.55139%,92.20284%,8.20117%,42.73363%,4.16748%
6,0,53.79833%,53.44861%,46.55139%,90.07634%,12.14524%,40.89761%,5.30406%
8,0,52.30231%,53.44861%,46.55139%,61.59578%,41.63189%,27.17117%,20.52652%
10,0,52.84632%,53.44861%,46.55139%,66.92112%,36.68614%,29.47348%,17.68020%
12,0,52.61317%,53.44861%,46.55139%,68.28426%,34.62020%,30.43520%,16.95162%
14,1,51.67088%,53.44861%,46.55139%,65.93966%,35.28798%,30.12434%,18.20478%
16,1,51.00058%,53.44861%,46.55139%,49.83642%,52.33723%,22.18768%,26.81173%
18,1,50.89372%,53.44861%,46.55139%,57.77899%,42.98831%,26.53973%,22.56654%
20,1,50.71887%,53.44861%,46.55139%,52.76263%,48.37229%,24.03342%,25.24772%
22,1,51.43773%,53.44861%,46.55139%,54.68920%,47.70451%,24.34428%,24.21799%
24,2,50.74801%,53.44861%,46.55139%,54.18030%,46.80718%,24.76200%,24.48999%
26,2,50.48572%,53.44861%,46.55139%,52.49000%,48.18447%,24.12085%,25.39343%
28,2,51.54459%,53.44861%,46.55139%,54.59833%,48.03840%,24.18885%,24.26656%
30,3,51.26287%,53.44861%,46.55139%,53.68957%,48.47663%,23.98485%,24.75228%
32,2,50.41772%,53.44861%,46.55139%,51.65394%,48.99833%,23.74199%,25.84030%
34,3,51.82631%,53.44861%,46.55139%,55.07088%,48.10100%,24.15970%,24.01399%
36,3,51.27259%,53.44861%,46.55139%,54.54380%,47.51669%,24.43171%,24.29571%
38,4,50.92287%,53.44861%,46.55139%,53.03526%,48.49750%,23.97513%,25.10200%
40,5,51.66116%,53.44861%,46.55139%,55.21628%,47.57930%,24.40256%,23.93627%
